,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
136,"LENOVO X270, i5 6th Generation 8GB RAM 256GB SSD Refurbished Laptop Win 11 Pro & Ms Off with free preowned Bag & mouse",190,Lenovo,5,WORLDWIDE COMPUTER SERVICES,35,8
137,Dell Latitude E7450 E7490 | Intel® Core™ i7 | 16G 24G 32G RAM | 1TB SSD | Intel HD integrated graphics | 14 inches  | laptop brand new original,554.62,Dell,4.67,Office Computer Store,12,3
138,Lenovo ThinkPad X390 business Laptop/ 133” FHD/ i5-8265U/ 16GB/ 256GB/ Windows 11 Pro Microsoft Office 2021,399,Lenovo,4.89,Laptop Kingdom,26,9
141,Dell Latitude 7280 FullHD 125in Ultrabook Laptop Intel Core i5 Gen 6th 8/16GB RAM 256/512GB SSD WebCam HDMI USB-C W10Pro USED 30 Days Warranty - Leinfotech,218,Dell,4.84,Le Infotech,149,49
149,"Lenovo IdeaPad 1 14IJL7 | 82LV005YSB | 14"" HD (1366x768) TN 220nits Anti-glare | Intel Celeron N4500 | 4GB RAM | 128GB eMMC",369,Lenovo,4.88,ATRiX Aurora Computer,299,85
150,[Refurbished] Lenovo ThinkPad T410 | 141 INCH | Intel i5-560M | 8GB Ram | 256GB SSD / 500GB HDD | 90 Day Warranty | FREE Laptop Bag + Wireless Mouse + Anti-Virus,179,Lenovo,3.67,Computer House,19,3
152,"HP EliteBook 840 G1 Core i5 4th GEN, Windows 11  PRO/ MS Office Package,(Refurbished)",189,HP,5,UB18 Computers Pte Ltd,10,5
153,"Toshiba Slim Light-Weight 14"" Core i7 8th Gen | 8gb/256ssd Windows 10 Pro | MS Office Pre Loaded | Used in Good Condition",300,Toshiba,4.75,Grandlink,10,3
154,"Refurbished HP EliteBook 840 G5 i5 8th GEN/ Windows 11 pro, (Refurbished)",329,HP,5,UB18 Computers Pte Ltd,16,4
155,"LENOVO T470 ThinkPad 14"" HD display/ Intel Core i5 6th Gen/ 8GB RAM / 128GB SSD/500GB HDD FOR DATA /WIN11 PRO /MS OFFICE (Refurbished)",200,Lenovo,5,WORLDWIDE COMPUTER SERVICES PTE LTD,24,5
158,HP ProBook 450G1 450G2 450G5/Intel Core i5/156in Built in numeric keypad/16GB RAM+256GB SSD+500GB HDD/WIFI/HD camera,524.8,HP,5,16G+Laptop Mall,9,5
160,"HP ELITEBOOK 8470P/ I5 3RD GEN/4GB RAM,/500 GB HARD DISK/WINDOWS 10 PRO/LAPTOP BAG",250,HP,3,Universal Computer Services,5,2
161,HP ProBook 450G1 I 450G2 I 450G5/Intel Core i5/156in HD Built in numeric keypad/16GB RAM+256GB SSD+500GB HDD/Brand new,524.8,HP,5,IT-Laptop Mall,14,5
162,Apple 15-inch MacBook Air (M3) with 8-core CPU and 10-core GPU,2199,Apple,5,Apple Flagship Store,48,14
163,"Lenovo ThinkPad X390 i5 8th Gen 8GB  DDR4 RAM, 256GB/512GB SSD  13Inch , Windows 11 Pro, Ms Office, Refurbished Ultra-book (122 kg)",269,Lenovo,4,UB18 Computers Pte Ltd,11,2
164,"Dell Latitude E7480 Core i5 6th Generation,14-Inch Screen, Windows 11 PRO with MS Office Package",199,Dell,5,UB18 Computers Pte Ltd,15,3
166,DELL Latitude 5490 Laptop i7 8th Gen  16GB DDR4 Ram 512GB SSD 14inch touchscreen Win11 Pro and Ms office,275,Dell,4.38,UB18 Computers Pte Ltd,47,16
170,"Lenovo ThinkPad T460 i5 6th Gen , 14inch , Win11 pro",199,Lenovo,4.8,UB18 Computers Pte Ltd,76,20
172,LENOVO THINKPAD x230 | 125 inch Display Screen | Intel core i5 | 8 GB RAM | 256GB / 256GB SSD | Windows 10 | Ms office | 1 month Warranty,169,Lenovo,4.5,JK Info Tech & Trading ,13,4
174,"( 88 Education Netbook / Brand New ) Evolve III Maestro E-Book Laptop 116 "" Windows 11 24H2 Intel CPU 4GB RAM 64GB SSD",169.99,MAESTRO,5,nanosg,18,3
175,Brand New Fuji X-Pro Max Ultrabook Laptop / Intel I7 Laptop / 512GB SSD / 24GB RAM / 16 Inch /  Win 11/ Free MS Office,399,Fuji,4.42,Fuji Gadgets,84,26
177,Brand New Fuji 360 Airbook Laptop / 360 Degree Flip + Touch Screen Laptop  / 8GB RAM / Win 11 / MS Office / Local Seller / Fast Shipping,349,Fuji,4.68,Fuji Gadgets,38,19
178,"Lenovo ThinkPad X280  i7 8th Gen 16GB DDR4 Ram 256GB/512GB SSD , Windows 11 pro",280,Lenovo,4.77,UB18 Computers Pte Ltd,46,12
179,"Lenovo ThinkPad T470s i7 7th Gen, Win 11 PRO, MS Office , Ultra-Book",319,Lenovo,4.67,UB18 Computers Pte Ltd,152,27
180,Refurbished Lenovo Thinkpad X240 / Core i5 4th Gen / 8GB 256GB SSD / Windows 11 PRO/ Ms Office,169,Lenovo,4.4,UB18 Computers Pte Ltd,54,20
181,"Lenovo IdeaPad Slim 3 14ABR8 | 82XL0038SB | 14"" FHD (1920x1080) IPS 300nits Anti-glare | Ryzen 7 7730U | Radeon Graphics | 16GB RAM | 512GB SSD | Win11 Home | 1Y Premium Care",869,Lenovo,5,ATRiX Aurora Computer,23,7
182,"HP  Red Notebook 156 inch display with webcam  Pentium Silver N5000 quad core Windows 11 Home 8GB RAM(upgradable)  Choose  480GB SSD or 240GB SSD or 128GB SSD  (20 times faster) color Red ,new and not used ,1 year warranty",548,HP,5,RajaRaja,24,8
188,[Various Lenovo Refurbished Laptop] Lenovo 14 and 13 inch Thinkpad Series T440s T450 T460 T570 T480s X1 Carbon X1 Yoga,229,Lenovo,5,Casterly Warehouse,15,1
190,Toshiba X30-D i5 8th Generation Ultrabook (lightweght 750g ) Win11 ms office,280,Toshiba,5,UB18 Computers Pte Ltd,9,2
194,"ABEX ONYX 14N / 15"" Laptop / FHD IPS Display / 1TB SSD / SG Local Brand",499,ABEX,4.83,ABEX,16,6
195,[Lenovo ThinkPad X Series Refurbished Laptops] X240 X250 X260 X270 X280 / Windows 10 Pro,199,Lenovo,4.2,Casterly Laptops,13,5
196,"Lenovo ThinkPad X1 Yoga  i7 10th Gen 16GB Ram 512GB SSD ,Win11 Pro Ms Office (x1 yoga 5th)",649,Lenovo,4.71,UB18 Computers Pte Ltd,41,7
198,"Apple 16-inch MacBook Pro: Apple M4 Pro/M4 Max chip, 2024",3499,Apple,4.83,Apple Flagship Store,89,18
199,2024 ASUS Zenbook 14 Laptop/ASUS Zenbook Laptop/ASUS Lingyao 14/ASUS Laptop/ASUS Intel Core Ultra7 155H 32GB RAM 1TB SSD Notebook/ASUS Laptop14inch 28K 120Hz OLED Screen/华硕灵耀14/华硕笔记本电脑,1260,ASUS,4.87,KK Technology,356,94
200,[New Model] [Intel i5-1334U]Aspire Go 15 Intel Everyday Laptop AG15-51P-526H/58PH (Gray) 153-Inch WUXGA IPS Display,799,Acer,5,Acer,32,7
201,"Dell Latitude 3440 | 14"" FHD (1920 x 1080) AG | Intel Core i5-1335U | 16GB DDR4 | 512GB SSD | Win11 Pro | 3YR ProSupport",799,Dell,5,ATRiX Aurora Computer,87,28
205,Dell Latitude E6230 / Core i5/ 8GB Ram/ 500GB HDD/ Windows 10/ Ms Office,169,Dell,4.21,UB18 Computers Pte Ltd,78,29
209,"Same day delivery LENOVO IdeaPad 3,156inch 16GB RAM Choose ( i5 or Ryzen 5 or Pentium 6405U or  Ryzen3 or Athlon Gold or Athlon Silver), 256GB SSD Windows 11, Almond, 1 year warranty ,mouse and laptop bag,",588,Lenovo,5,RajaRaja,23,3
210,2024 Laptop Computer Windows 11 Notebook 141 inch Intel Pentium N3700 Notebook 16GB 512GB SSD 1920X1080 Resolution Office Study PC computer,300,Leno,5,Global Electronic Digital,10,8
212,DELL E7440 i5 4th gen 8GB  500GB HDD Win10 Pro Ms office,249,Dell i5,4.76,UB18 Computers Pte Ltd,105,38
213,Lenovo ThinkPad T490s 14” Laptop Gen8 Intel Core i7 RAM 16GB 256/512GB/1TB NVMe HDMI USB-C ThunderBolt-3 WebCam W11Pro Used 30 Days Warranty - LeInfotech,388,Lenovo,4.5,Le Infotech,186,36
217,[Stock Clearance] Various Refurbished ASUS Budget Series / F402B / F540U / X407U / AMD / Intel Laptops,249,ASUS,5,Casterly Laptops,16,6
219,"Microsoft Surface Pro 4, i5 6th Gen ,  Windows 11 PRO,  (Refurbished)",299,Microsoft,4.44,UB18 Computers Pte Ltd,21,9
222,[AI Ready PC][Intel Core 5 Processor 120U] Acer Aspire 15 A15-51M-51SW/57DQ 156 Inches FHD Laptop | 8GB/16GB RA,799,Acer,4.84,Acer,413,96
223,Mirval F5 Laptop 156'' IPS Intel Jasper Lake N5095 24/5G WiFi Computer Up to 29Ghz 4 Cores CPU 16GB DDR4 512GB SSD Notebook,399.9,Mirval,5,Mirval Flagship Store,22,20
225,"HP Laptop 14-ep1056TU | 14"" diagonal, FHD (1920 x 1080), IPS | Intel Core 5 120U | Intel Graphics | 8GB RAM | 512GB SSD | Win11 Home | 2Y Onsite Warranty",889,HP,4.89,ATRiX Aurora Computer,131,37
226,"Dell Latitude E 5440 14in Laptop, Intel Core i5-4200U 8GB RAM, 500 GB , DVDRW, Windows 10 Pro office 2019",170,Dell Computers,2,Laptop Options,6,1
