,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
396,100% Original 2024 vivo X200 Smartphone/Vivo X200 Pro/Vivo X200 Pro mini/VIVO X200/Vivo Mobile Phone/Vivo 5G AI Phone/Dimensity 9400/120Hz AMOLED Screen/90W Fast Charging/vivo X200手机,855.0,Vivo,5.0,Eliauk,38.0,10.0
408,2024 New Xiaomi Redmi K70 Ultra Mobile Phone/Redmi K70 Dimensity 9300+ CPU Phone/667inches 144Hz OLED Screen Smartphone/Xiaomi HyperOS/5500 mAh| 120W Fast Charging/红米K70至尊版,522.0,Xiaomi,5.0,Lily Happy,13.0,5.0
412,Honor 200 Pro Smartphone/Honor 200 Phone /Honor 100 Pro Smartphone/Honor 100 Phone /Honor Phone/荣耀100 Pro/荣耀手机,475.0,Honor,5.0,Eliauk,15.0,6.0
417,Samsung Galaxy S10 5G Mobile Phone 8GB RAM 256GB ROM 67 Inches Exynos 9820 Octa Core NFC  Android 90,385.03,Samsung,5.0,Com2Share Audio store,8.0,7.0
424,Xiaomi Redmi K70 Pro Smartphone/Redmi K70 MobilePhone/Redmi K70E Phone/ Redmi K70 Pro/Redmi Phone Xiaomi Hyper OS Smartphone 红米K70,395.0,Xiaomi,4.83,Laaaaa Store,19.0,6.0
425,"Samsung Galaxy Z Fold6 5G, AI Phone",2548.0,Samsung,4.9,Samsung,295.0,73.0
433,Nothing Phone (2A) AMOLED Display 67″ / New Glyph Interface 50 MP Dual Camera,499.0,Nothing,4.96,CameraSG,75.0,28.0
442,"OUKITEL WP33 PRO 5G 24GB+256GB 66"" FHD+ Display Rugged Mobile phone Android 13 22000mAh 33W 136dB OTG NFC Smartphone Handphone",409.0,OUKITEL,4.2,OUKITEL Flagship Store,10.0,34.0
443,"CMF Phone 1 | Interchangable Design | 50 MP Rear Camera | 667"" AMOLED 120Hz | Dimensity 7300 5G",369.0,Nothing,5.0,Erajaya(Singtel Exclusive Retailer),5.0,4.0
444,vivo iQOO Neo10 Pro Smartphone Dimensity 9400/vivo iQOO Neo10 Gaming Phone Snapdragon 8 Gen 3/iQOO 5G Gaming Phone/vivo Mobile Phone/678inch/6100mAh/120W SuperVOOC/Dual SIM/iQOO Neo10 Pro手机,544.0,Vivo,5.0,Eliauk,6.0,2.0
448,Xiaomi 15 Pro Smartphone/Xiaomi 15 Mobile Phone/Xiaomi 5G Phone/Snapdragon 8 Elite/HyperOS 20/673inch 120Hz AMOLED Screen/90W Fast Charge/6100 mAh Battery/小米15 Pro手机,950.0,Xiaomi,4.88,Eliauk,14.0,8.0
459,VIVO iQOO Neo 9s Pro Dimensity 9300+ Mobile Phone/ iQOO Neo 9 Pro Dimensity 9300/ iQOO Neo 9 Snapdragon 8 Gen 2 Smartphone/Vivo IQOO Gaming phone/ 144Hz Screen/5160mAh/120W SuperVOOC/VIVO 手机/iQOO游戏手机,488.0,Vivo,5.0,Lily Happy,5.0,2.0
462,Xiaomi Redmi K70 Ultra Mobile Phone|Redmi K70 Ultra Dimensity 9300+ 144Hz OLED Screen Phone| Redmi K70 Ultra Champion Edition| 5500 mAh| 120W Fast Charging|红米K70至尊版 |小米红米K70 Ultra 5G手机,522.0,Xiaomi,5.0,MOMO Technology,9.0,2.0
465,Motorola Moto Razr 50 Ultra /Motorola Moto Razr 50 Smartphone/Motorola Foldable Phone/Motorola Phone摩托罗拉手机,708.0,Motorola,5.0,Laaaaa Store,45.0,14.0
473,REDMI K80 Snapdragon 8 Gen 3|REDMI K80 Pro  Snapdragon 8 Elite Smartphone|667 inches 120Hz OLED Screen Phone|xiaomi HyperOS 2|6000 mAh|120W wired Charging|Dual SIM 红米K80手机,617.89,Xiaomi,5.0,MOMO Technology,5.0,2.0
475,Unihertz Jelly Star Mini Smartphone Android 13 8GB 256GB Led Light Unlocked Transparent Backshell Cellphones 48MP 3 inch Phone,350.0,Unihertz,5.0,Smartphone Affiliate Store,8.0,6.0
478,"Samsung Galaxy Z Flip6 5G, AI Phone",1648.0,Samsung,4.75,Samsung,221.0,79.0
487,"Ulefone Power Armor 14 Pro Rugged Phone, 6GB+128GB, Triple Back Cameras, IP68/IP69K Waterproof Dustproof Shockproof, Face ID & Side Fingerprint Identification, 10000mAh, 652 inch Android 12 MediaTek Helio G85 MT6769V/CZ Octa Core up to 20GHz",289.0,Ulefone,4.33,Mobile Brand Store,19.0,6.0
489,Brand New  Reno 12 Pro Dimensity 9200+Mobile Phone/ Reno 12 Dimensity 8250 Cell Phone/Reno 12 120Hz AMOLED Screen/80W SuperVOOC/5000mAh/Reno 12 Pro手机/Reno 12 手机,499.0,OPPO,5.0,Lily Happy,10.0,3.0
491,"Samsung Galaxy S24 FE, AI Phone (1 Year Local Samsung Warranty) (FREE : TEMPERED GLASS + BACK CASE)",748.0,Samsung,4.78,Global Technologies,146.0,58.0
493,"realme 11 5G 16(8+8GB) + 256GB | 108MP 3× Zoom Camera l 67W SUPERVOOC Charge | Dimensity 6100+ 5G Chipset | 120HZ | 674"" HD Display | Mobile Phone",369.0,Realme,5.0,realme Singapore,7.0,2.0
494,vivo X200 Smartphone/Vivo X200 Pro/Vivo X200 Pro mini/VIVO X200/Vivo Mobile Phone/Vivo AI Phone/Dimensity 9400/vivo 手机,855.0,Vivo,4.85,KK Technology,76.0,26.0
510,"Cubot KingKong Star 5G 24GB+256GB Rugged Handphone 678"" 2K Screen Rugged Mobile phone",401.0,CUBOT,4.77,OUKITEL Flagship Store,25.0,34.0
516,Google Pixel 4a 5G Unlocked US Version 5G Mobile Phone 62 inches 6GB RAM 128GB ROM Octa-core Snapdragon 765G Smartphone,322.03,Google,5.0,Com2Share Audio store,8.0,25.0
532,Sony Singapore Xperia 10 VI | Mobile Phone | Xperia 10M6 | Powerful battery | Lightweight,689.0,Sony,5.0,Sony,30.0,11.0
534,Reno12 Pro/Reno 12 5G Smartphone/ oppo 5G Smartphone/ Dimensity 9200+/ 67inch 120Hz AMOLED Screen/ 80W Charge Mobile Phone/Reno 12 Pro,539.0,OPPO,4.88,KK Technology,121.0,34.0
535,"2024 Now OnePlus 13/OnePlus 12 Smartphone/OnePlus Phone/OnePlus 11/一加13手机/一加12手机/一加11/一加手机/Unlocked OnePlus 12 CellPhone /Snapdragon 8 Elite/682"" 2K 120Hz LTPO AMOLED/6000 mAh Battery MobilePhone/Dual SIM 5G Gaming Flagship Phone",859.0,OnePlus,4.83,DS Moblie Store,103.0,46.0
536,Google Pixel 2 US Version 4G LTE Unlocked Mobile Phone 5 inch 4GB RAM 64GB/128GB ROM Snapdragon 835 Octa Core 2700mAh Battery Smart Phone,162.03,Google,5.0,Com2Share Audio store,16.0,5.0
543,Redmi K70 / Redmi K70 Pro / Redmi K70E Snapdragon 8 Gen 2 DUAL SIM/Redmi Phone/Xiaomi Phone/红米K70 Pro,412.0,Xiaomi,5.0,Eliauk,7.0,6.0
